category_key,category_name,pair_slug,concept_label,positive_concept,negative_concept,layer,layer_index,n_layers,n_positive,n_base,n_negative,hidden_dim,pos_base_norm,neg_base_norm,cos_similarity
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,-35,1,35,100,100,100,2048,1.4783822298049927,0.9725643992424011,0.8636856079101562
ideology,IDEOLOGY,ideology__collective_benefit__personal_benefit,collective-benefit vs personal-benefit,collective-benefit,personal-benefit,-35,1,35,100,100,100,2048,1.4795184135437012,0.9658182859420776,0.8431264758110046
ideology,IDEOLOGY,ideology__collective_responsibility__individual_responsibility,collective-responsibility vs individual-responsibility,collective-responsibility,individual-responsibility,-35,1,35,100,100,100,2048,1.4724974632263184,0.9016796350479126,0.8581539392471313
ideology,IDEOLOGY,ideology__collective_security__civil_liberty,collective-security vs civil-liberty,collective-security,civil-liberty,-35,1,35,100,100,100,2048,1.5246011018753052,1.0768996477127075,0.8572575449943542
ideology,IDEOLOGY,ideology__collective_welfare__individual_liberty,collective-welfare vs individual-liberty,collective-welfare,individual-liberty,-35,1,35,100,100,100,2048,1.540324091911316,0.9658619165420532,0.8494014143943787
ideology,IDEOLOGY,ideology__competition_policy__cooperation_policy,competition-policy vs cooperation-policy,competition-policy,cooperation-policy,-35,1,35,100,100,100,2048,1.6925106048583984,1.1718205213546753,0.8962060809135437
ideology,IDEOLOGY,ideology__consumer_protection__corporate_freedom,consumer-protection vs corporate-freedom,consumer-protection,corporate-freedom,-35,1,35,100,100,100,2048,1.6663256883621216,1.0535640716552734,0.7876172065734863
ideology,IDEOLOGY,ideology__data_protection_priority__data_utilization_priority,data-protection-priority vs data-utilization-priority,data-protection-priority,data-utilization-priority,-35,1,35,100,100,100,2048,1.4917596578598022,0.9323089122772217,0.7146809697151184
ideology,IDEOLOGY,ideology__economic_growth_priority__sustainability_priority,economic-growth-priority vs sustainability-priority,economic-growth-priority,sustainability-priority,-35,1,35,100,100,100,2048,1.5723717212677002,1.0119343996047974,0.6560956239700317
ideology,IDEOLOGY,ideology__energy_transition__fossil_energy_support,energy-transition vs fossil-energy-support,energy-transition,fossil-energy-support,-35,1,35,100,100,100,2048,1.5510752201080322,1.1436901092529297,0.8580489158630371
ideology,IDEOLOGY,ideology__environmental_protection__economic_growth,environmental-protection vs economic-growth,environmental-protection,economic-growth,-35,1,35,100,100,100,2048,1.574904203414917,1.216846227645874,0.8544209599494934
ideology,IDEOLOGY,ideology__equality_priority__merit_priority,equality-priority vs merit-priority,equality-priority,merit-priority,-35,1,35,100,100,100,2048,1.4246537685394287,0.9692328572273254,0.831119954586029
ideology,IDEOLOGY,ideology__equity_priority__efficiency_priority,equity-priority vs efficiency-priority,equity-priority,efficiency-priority,-35,1,35,100,100,100,2048,1.4587587118148804,0.9402050375938416,0.8293501138687134
ideology,IDEOLOGY,ideology__global_cooperation__national_self_reliance,global-cooperation vs national-self-reliance,global-cooperation,national-self-reliance,-35,1,35,100,100,100,2048,1.4850112199783325,0.9700594544410706,0.7362313270568848
ideology,IDEOLOGY,ideology__government_intervention__free_market,government-intervention vs free-market,government-intervention,free-market,-35,1,35,100,100,100,2048,1.5651718378067017,1.0062839984893799,0.8110643029212952
ideology,IDEOLOGY,ideology__hierarchy_support__egalitarianism_support,hierarchy-support vs egalitarianism-support,hierarchy-support,egalitarianism-support,-35,1,35,100,100,100,2048,1.4779187440872192,0.9995667338371277,0.8151779770851135
ideology,IDEOLOGY,ideology__human_rights_priority__sovereignty_priority,human-rights-priority vs sovereignty-priority,human-rights-priority,sovereignty-priority,-35,1,35,100,100,100,2048,1.6131458282470703,1.0394161939620972,0.7820968627929688
ideology,IDEOLOGY,ideology__inclusive_policy__selective_policy,inclusive-policy vs selective-policy,inclusive-policy,selective-policy,-35,1,35,100,100,100,2048,1.5946846008300781,1.0970230102539062,0.891182005405426
ideology,IDEOLOGY,ideology__industrial_policy__market_coordination,industrial-policy vs market-coordination,industrial-policy,market-coordination,-35,1,35,100,100,100,2048,1.779557466506958,1.0463098287582397,0.8641700148582458
